"Status","Suburb","Place","Date","Arrival.Time","Departure.Time","table","type","lat","lon"
"","Belconnen","Westfield Woolworths, Benjamin Way, Belconnen","Friday 13 August 2021","1.45pm","2.10pm","Casual Contacts","Casual Contacts ",-35.2386596,149.0652762
"","Belconnen","Westfield Aldi, Benjamin Way, Belconnen","Friday 13 August 2021","2:00pm","2.25pm","Casual Contacts","Casual Contacts ",-35.2382964,149.0638025
"","Belconnen","Westfield Coles, Benjamin Way, Belconnen","Friday 13 August 2021","2.15pm","2.45pm","Casual Contacts","Casual Contacts ",-35.237949,149.064837
"","Belconnen","Westfield Elite Supplements, Benjamin Way, Belconnen","Friday 13 August 2021","2.30pm","2.45pm","Casual Contacts","Casual Contacts ",-35.2383723,149.0649988
"","Tuggeranong","Southern Cross basketball stadium, 7 Pitman Street, Greenway","Wednesday 11 August 2021","8.30pm","10:00pm","Casual Contacts","Casual Contacts ",-35.4155197,149.0634307
"","Canberra City","Canberra Centre Subway & Food CourtCanberra Centre, 148 Bunda Street","Monday 9 August 2021","10:30am","12:00pm","Casual Contacts","Casual Contacts ",-35.2805658,149.1332051
"","Weston","Woolworths Weston Creek, Cooleman Court Shopping Centre, Brierly St, Weston","Friday 13 August 2021","6.20pm","7:00pm","Casual Contacts","Casual Contacts ",-35.340765,149.052681
"New","Lyneham","IGA Lyneham, 1 Wattle Place","Saturday 14 August 2021","4.15pm","5:00pm","Casual Contacts","Casual Contacts New",-35.2520717,149.1248594
"New","O'Connor","Kopiku, 1/5 Sargood Street","Friday 13 August 2021","9.45am","10.15am","Casual Contacts","Casual Contacts New",-35.2640694,149.1224283
"New","O'Connor","Capital Chemist, 9 Sargood Street","Friday 13 August 2021","9.35am","10:00am","Casual Contacts","Casual Contacts New",-35.2639132,149.122586
"New","Belconnen","Bing Lee, 10-12 Cohen Street","Tuesday 10 August 2021","12.50pm","1.15pm","Casual Contacts","Casual Contacts New",-35.240317,149.059827
"New","Manuka","Coles Supermarket, Manuka, Franklin Street &, Flinders Way","Wednesday 11 August 2021","6:00pm","6.45pm","Casual Contacts","Casual Contacts New",-35.32102,149.1342
"New","Charnwood","McDonalds, Cnr Charnwood Place & Lhotsky Place","Thursday 12 August 2021","8:00am","8.45am","Casual Contacts","Casual Contacts New",-35.20595,149.0343
"New","Lyneham","IGA Lyneham, 1 Wattle Place","Thursday 12 August 2021","3:00pm","3.45pm","Casual Contacts","Casual Contacts New",-35.2520717,149.1248594
